Complaint Name,Project,Country,IAM,Bank,External ID,Status,Filer,IFI Support,Sector,Issues,Description,Registration,Eligibility,Dispute Resolution,Compliance Review,Monitoring
D1 motorway Phase I,D1 motorway Phase I,Slovak Republic,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,2010/01,Closed With Results,"Priatelia Zeme-CEPA, SOS BirdLife Slovensko",Project/investment lending,Infrastructure,"Biodiversity, Due diligence",,6/7/10,6/11/10,8/18/10,,8/18/10
DG Khan-01/ Kahoon,DG Khan-01/ Kahoon,Pakistan,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,Manufacturing,Due diligence,,12/1/05,,,,
DIF Lydian (Amulsar Gold Mine),DIF Lydian (Amulsar Gold Mine),Armenia,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,2014/02,Closed Without Results,"Armenian Women for Health and Healthy Environment, Center for Bird Lovers, EcoLur, EcoRight, Pan-Armenian Environmental Front, Save Teghut",Equity Investment,"Extractives (oil, gas, mining)","Biodiversity, Consultation and disclosure, Cultural heritage, Due diligence, Livelihoods, Water",,7/29/14,7/31/14,,,
DIF Lydian (Amulsar Gold Mine) 2,DIF Lydian (Amulsar Gold Mine),Armenia,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,2014/03,Closed Without Results,Unknown,,"Extractives (oil, gas, mining)","Consultation and disclosure, Due diligence, Other community health and safety issues, Pollution, Water",,10/29/14,11/7/14,,,
DISI - Amman Water Conveyor,DISI - AMMAN WATER CONVEYOR,Jordan,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2010/14,Closed Without Results,,,,Other,,12/14/10,,,,
DTS Expressway,DTS Expressway,Poland,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2012/10,Closed Without Results,Stowarzyszenie Gliwiczanie dla Gliwic,Project/investment lending,Infrastructure,"Due diligence, Other community health and safety issues",,7/12/12,,,,2/4/14
DTS Expressway II,DTS Expressway II,Poland,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2010/01,Closed Without Results,Gliwiczanie dla Gliwic society,Project/investment lending,Infrastructure,"Consultation and disclosure, Cultural heritage, Due diligence, Other community health and safety issues",,1/15/10,1/29/10,1/29/10,,12/14/10
DTT,DTT,United States,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,10/1/09,,,,
Dakar-Diamniadio Highway Project,Dakar-Diamniadio Highway Project,Senegal,African Development Bank Independent Review Mechanism (AfDB IRM),African Development Bank,RQ 2011/1,Closed With Results,"L'ecole franco-arabe Imam Moussa Mbaye, Collectif des locataires affectes par le projet de l'autoroute a peage",Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Other",,6/15/11,7/26/11,,10/10/11,
Dariali HPP,Dariali HPP,Georgia,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,2014/05,Active,"Association Green Alternative, Stepantsminda",Project/investment lending,"Energy, Infrastructure","Biodiversity, Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Other, Other community health and safety issues, Water",,11/24/14,12/8/14,8/28/15,,9/2/15
Decentralized Rural Infrastructure and Livelihood Project,Decentralized Rural Infrastructure and Livelihood Project,Nepal,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,11,Closed With Results,Unknown,Project/investment lending,"Community capacity and development, Infrastructure","Consultation and disclosure, Displacement (physical and/or economic)",,11/10/14,11/10/14,12/15/14,12/15/14,
Delhi Mass Rapid Transport System Project,Delhi Mass Rapid Transport System Project,India,Japan International Cooperation Agency Examiner for Environmental Guidelines (JICA EEG),Japan International Cooperation Agency,,Closed Without Results,,Project/investment lending,Infrastructure,Other,,6/30/05,,,,
DeltaCredit Bank,DeltaCredit Bank,Russia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,10/1/05,,,,
Development Forestry Sector Management Project,Development Forestry Sector Management Project,Liberia,World Bank Inspection Panel (WB Panel),World Bank,69,Closed With Results Outside Process,Sustainable Development Institute,Other,"Forestry, Regulatory Development","Biodiversity, Consultation and disclosure, Due diligence, Human rights, Other environmental",,9/24/10,9/30/10,2/7/11,,
Development Programme's Norte Grande provinces: W&S Infrastructure,Development Programme's Norte Grande provinces: W&S Infrastructure,Argentina,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-AR-2013-061,Closed Without Results,,,,Other,,6/1/13,,,,
Development of the Industry of Products of the Vegetable Sponge,Development of the Industry of Products of the Vegetable Sponge,Paraguay,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-PR-2010-001,Closed With Results,"Loofah, S.A.",Project/investment lending,Manufacturing,Other,,2/10/10,9/20/10,12/16/10,2/5/11,
Digicel,Digicel,Papua New Guinea,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,1/1/08,,,,
Dinant-01/CAO Vice President Request,Dinant-01/CAO Vice President Request,Honduras,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,188,Monitoring,CAO Vice President,Project/investment lending,"Agribusiness, Manufacturing","Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Violence against the community (by gov't and/or company)",,4/17/12,,,,8/12/17
Dinant-02/Aguan Valley,Dinant-02/Aguan Valley,Honduras,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,224,Active,Movimiento Campesino Refundacion Gregorio Chavez,Project/investment lending,"Agribusiness, Manufacturing","Displacement (physical and/or economic), Other environmental, Violence against the community (by gov't and/or company)",,7/25/14,,8/14/17,,
Dinant-03/Aguan Valley,Dinant-03/Aguan Valley,Honduras,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,223,Active,Movimiento Unificado Campesino del Aguan,Project/investment lending,"Agribusiness, Manufacturing","Displacement (physical and/or economic), Other environmental, Violence against the community (by gov't and/or company)",,7/25/14,,8/14/17,,
"Diversification of the Activities of ""Moulins Modernes du Mali (M3)"" Project in Mali","Diversification of the Activities of ""Moulins Modernes du Mali (M3)"" Project in Mali",Mali,African Development Bank Independent Review Mechanism (AfDB IRM),African Development Bank,RQ2016/1,Active,Unknown,,Agribusiness,"Displacement (physical and/or economic), Other retaliation (actual or feared)","<p>
<i>
Full Description available at: <a href=""https://www.afdb.org/fileadmin/uploads/afdb/Documents/Compliance-Review/Mali-_Diversification_of_the_activities_of_Modern_Mills_Project_-_The_Independent_Review_Mechanism_Eligibility_Assessment_Report_for_Compliance.pdf"" class=""u-blue-color""> https://www.afdb.org/fileadmin/uploads/afdb/Documents/Compliance-Review/Mali-_Diversification_of_the_activities_of_Modern_Mills_Project_-_The_Independent_Review_Mechanism_Eligibility_Assessment_Report_for_Compliance.pdf <a> <i> </p>
<br>
<p>
The Request was submitted by an international NGO, Afrique-Europe Interact, with local
representation in Mali. The NGO complained about land grabbing by the project and its adverse
effects on the people living in the villages of Sanamadougou and Sahou. The inhabitants of these villages, who refused to leave their agricultural lands at the beginning of the project, have allegedly been subjected to serious violations of their rights and have received threats to their physical security. In addition, a number of those affected by the project (i.e. PAPs), were not compensated while a few others received only symbolic compensation amounts for their lands and properties. The Director of the Compliance Review and Mediation Unit (CRMU) registered the Request on 12 May, 2016 pending verification of two issues: (a) if there was any land dispute case pending
before any courts in Mali at the time of submission of the Request, and (b) if the NGO, being a
foreign representative, had obtained representational authority to act on behalf of the people affected by the project.
</p>
<br>
<p>
The project will expand M3’s existing processing facilities to produce: (i) semolina from durum
wheat, millet and maize; (ii) long and short pasta, as well as couscous from wheat, millet and
maize; and (iii) flour from kibbled millet and maize. M3 will also acquire a new flour mill for the
production of bread-quality wheat flour or “flour mill”. The production residue will be used to
produce animal feed.
</p>
<br>
<p>
The M3 is located approximately 230 km from Bamako, in the Rural Commune of Sébougou
which is almost part of the city of Ségou. It is located on a plot involving eight contiguous land
titles (TF No. 1133-1140 ) with a total area of 7 ha 15 a 38 ca. The town is under the supervision
of the Sous-Prefect of Ségou. The project’s influence extends to the rural communes of Sébougou
and Ségou and their surroundings. Seven production chains will be set up on the M3 Project site
at Ségou. The project is expected to promote local agricultural development and to strengthen the
value chains by creating direct and indirect employment as well as business opportunities for local
entrepreneurs. By producing import substitutes, the project is expected to have a positive impact
on the trade balance, while the increased local production will enhance food security by creating
jobs and wealth for the country. 
</p>
<br>
<p>
The project involves the installation of units for the production of couscous and pasta. These
include silos for the storage of raw materials (hard wheat, soft wheat, maize, millet and sorghum),
and three (03) mills for the production of meal and flour to be used to supply production lines.
Other facilities associated with the project include; boilers (steam and hot water), air compressors
(compressed air production), refrigerators (cooling water production), and electric transformers. 
Under the project, silos will be acquired, allowing for an increase in M3 storage capacity to 20,000
tons for durum wheat, 5,000 tons for maize, and 5,000 tons for millet. 
</p>",,,,,5/12/17
"Drainage, roads, water supply and sewerage in the low areas of Belem","Drainage, roads, water supply and sewerage in the low areas of Belem",Brazil,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-BR-2013-076,Closed Without Results,Unknown,Project/investment lending,Infrastructure,Other community health and safety issues,,12/18/13,1/29/14,,,
Dynagreen Waste to Energy Project,Dynagreen Waste to Energy Project,China,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,"Equity Investment, Project/investment lending","Conservation and environmental protection, Energy",,,8/23/13,8/23/13,,,
ELENA/Environmental Impact,ELENA/Environmental Impact,Sweden,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2015/05/PR,Closed With Results Outside Process,,Project/investment lending,Energy,Other community health and safety issues,,4/28/15,,,,
EMS Electricity Network Upgrading,EMS Electricity Network Upgrading,Serbia,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2014/09,Active,Unknown,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Corruption/fraud, Due diligence, Other community health and safety issues, Violence against the community (by gov't and/or company)",,9/21/14,,10/9/14,,
"EPS Emergency Power Sector Reconstruction Loan, EPS Power II and EPS Kolubara Environmental Improvement","EPS Emergency Power Sector Reconstruction Loan, EPS Power II and EPS Kolubara Environmental Improvement",Serbia,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,2013/02,Monitoring,Center for Ecology and Sustainable Development (CEKOR),Project/investment lending,"Energy, Extractives (oil, gas, mining)","Displacement (physical and/or economic), Due diligence, Pollution",,10/1/13,10/29/13,3/10/14,,3/10/14
EPS Kolubara Environmental Improvement,EPS Kolubara Environmental Improvement,Serbia,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,2012/04,Monitoring,"Ecological Society ""Vreoci"", The Council of the Local Community of Vreoci",Project/investment lending,"Extractives (oil, gas, mining)","Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Pollution, Water",,8/24/12,8/31/12,8/9/13,,8/9/13
EPS Power II,EPS Power II,Serbia,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,2013/02,Closed With Results,Center for Ecology and Sustainable Development (CEKOR),Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Displacement (physical and/or economic)",,8/16/13,8/23/13,12/3/14,,12/3/14
EPS Restructuring,EPS Restructuring,Serbia,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,,Closed With Results,Unknown,,Energy,Other,"<p>
<i>
Full description available at: <a href=""file:///Users/BrianaMegid/Downloads/eps+restructuring+ear_public.pdf"" class =""u-blue-color""> file:///Users/BrianaMegid/Downloads/eps+restructuring+ear_public.pdf </a>
</i>
</p>
<br>
<p>
The project is a €200 million loan to Public Enterprise Elektroprivreda Srbije (EPS),
guaranteed by the Republic of Serbia, and subject to the Bank’s policy requirements for
public sector projects. 
</p>
<br>
<p>
The loan proceeds will be used to restructure EPS’s balance sheet, replacing short and
medium term financial debt entered into on an emergency basis to alleviate a critical cash
situation created by the unprecedented and catastrophic floods in Serbia in 2014. EBRD’s
operation provides long term debt with terms better matched to the underlying assets and
EPS’s operations. The refinancing will free up resources to allow the EPS to focus on the
implementation of its long term capital expenditure program, which involves substantial
modernisation of Serbia’s power sector infrastructure.
</p>
<br>
<p>
This Project will also allow EBRD to continue its engagement with EPS on environmental and
social issues.
</p>
<br>
<p>
In this new Project, following the EBRD’s due diligence carried out with the assistance of TCfunded
independent consultant, a new, updated Company-wide ESAP was agreed that
provides a comprehensive response to environmental and social issues associated with
EPS’s operations. EPS is committed to enhancing its environmental and social management
systems for the restructured Company in line with good international practice and will be
revising its corporate environmental and social strategy accordingly. The strategy will be
based on an outline prepared by the consultants, which includes a new Resettlement
Framework. The ESAP also reinforces the commitment to implement the action plans from
the company-wide EHS audits. These further actions address a number of the
recommendations of the PCM Compliance Review on the Kolubara Environmental
Improvement Project. A post-signing TC provided a consultant to survey EPS for corporate
governance gaps and to provide an action plan to remedy them.
</p>",,,,,
Earthquake Emergency Assistance Project,Earthquake Emergency Assistance Project,Pakistan,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,Project/investment lending,Infrastructure,,,12/17/12,12/18/12,,,
Earthquake Emergency Assistance Project 2,Earthquake Emergency Assistance Project,Nepal,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,"Advisory services, Project/investment lending","Education, Infrastructure",Other,,5/5/15,5/8/15,,,
East-West Highway Improvement Project,East-West Highway Improvement Project,Azerbaijan,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,Public Association for Assistance to Free Economy (PAAFE),Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic)",,9/2/09,9/3/09,,,
Eastern Poland Roads Ten-T,Eastern Poland Roads Ten-T,Poland,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2012/06,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Due diligence, Pollution",,5/2/12,,,,
Eco Oro-01/Bucaramanga,Eco Oro-01/Bucaramanga,Colombia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,187,Active,Comite por la Defensa del Agua y Paramo de Santurban,Project/investment lending,"Extractives (oil, gas, mining)","Biodiversity, Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Livelihoods, Other environmental, Water",,6/13/12,,7/12/17,,6/13/17
Ecocimento Fibre Cement,Ecocimento Fibre Cement,Mozambique,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2010/08,Closed Without Results,Unknown,Project/investment lending,Manufacturing,"Due diligence, Other community health and safety issues, Other environmental, Pollution",,7/14/10,,7/28/10,,9/9/10
Ecodevelopment Project,Ecodevelopment Project,India,World Bank Inspection Panel (WB Panel),World Bank,11,Closed Without Results,Nagarahole Budakattu Janara Hakkusthapana Samithi,Project/investment lending,Conservation and environmental protection,"Displacement (physical and/or economic), Due diligence, Indigenous peoples",,4/2/98,4/3/98,10/21/98,,
Education Improvement Project,Education Improvement Project,Armenia,World Bank Inspection Panel (WB Panel),World Bank,94,Closed Without Results,Unknown,Project/investment lending,Education,"Consultation and disclosure, Due diligence, Other",,5/16/14,6/5/14,8/1/14,,
Education Sector Reform Project,Education Sector Reform Project,Tajikistan,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed With Results,"Kalam, NGO Forum on ADB, Tarakiet",Project/investment lending,"Education, Infrastructure",Other,,8/5/10,8/5/10,9/1/10,11/1/10,
Edy Group-01/ Romania,Edy Group-01/ Romania,Romania,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,1/1/13,,,,
Eirgrid East-West Interconnector TEN-E,Eirgrid East-West Interconnector TEN-E,Ireland,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,,Closed Without Results,Unknown,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Other environmental",,11/4/10,,,,4/29/11
El Dorado International Airport,El Dorado International Airport,Colombia,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-CO-2011-023,Active,Comunidades Unidas Macroproyecto Aeropuerto El Dorado,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Other community health and safety issues, Other environmental, Pollution, Water",,8/12/11,9/12/11,11/3/11,3/28/12,12/3/15
El Dorado International Airport - IFC FI investment,El Dorado International Airport,Colombia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Pre-Filed,Comunidades Unidas Macroproyecto Aeropuerto El Dorado,"Equity Investment, Financial intermediary",Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Pollution, Property damage",,,,,,
Electric Interconnection System for the Central American Countries (SIEPAC),Electric Interconnection System for the Central American Countries (SIEPAC),Costa Rica,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-CR-2010-010,Closed Without Results,Unknown,Project/investment lending,"Energy, Infrastructure","Biodiversity, Due diligence, Livelihoods, Water",,12/20/10,2/2/11,4/8/11,8/22/11,
Electricity Expansion Project,Electricity Expansion Project,Kenya,World Bank Inspection Panel (WB Panel),World Bank,97,Monitoring,Unknown,Project/investment lending,"Energy, Infrastructure","Cultural heritage, Displacement (physical and/or economic), Livelihoods, Other community health and safety issues, Other retaliation (actual or feared)",,10/26/14,11/13/14,2/18/15,,2/13/15
Electricity Network Upgrading,Electricity Network Upgrading,West Bank,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2013/11,Closed Without Results,Unknown,Project/investment lending,"Energy, Infrastructure","Other community health and safety issues, Other environmental",,10/24/13,12/19/13,12/19/13,,
Empresa Electrica Pangue S.A.-01/Upper Bio-Bio Watershed,Empresa Electrica Pangue S.A.-01/Upper Bio-Bio Watershed,Chile,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,92,Closed With Results,Unknown,"Equity Investment, Project/investment lending","Energy, Infrastructure",Displacement (physical and/or economic),,8/1/00,,,6/1/01,
Empresa Electrica Pangue S.A.-02/Upper Bio-Bio Watershed,Empresa Electrica Pangue S.A.-02/Upper Bio-Bio Watershed,Chile,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,93,Closed With Results,Unknown,"Equity Investment, Project/investment lending","Energy, Infrastructure","Biodiversity, Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Livelihoods, Other community health and safety issues, Other environmental",,7/1/02,,,5/3/17,
Empresa Electrica Pangue S.A.-03/Mulchen,Empresa Electrica Pangue S.A.-03/Mulchen,Chile,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,"Equity Investment, Project/investment lending","Energy, Infrastructure",,,10/1/08,,,,
Energy Access and Efficiency Improvement Project,Energy Access and Efficiency Improvement Project,Nepal,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,Project/investment lending,"Energy, Infrastructure",,,11/16/12,11/19/12,,,
"Energy Loss Reduction Project (Rogun HPP, Tajikistan)","Energy Loss Reduction Project (Rogun HPP, Tajikistan)","Tajikistan, Uzbekistan",World Bank Inspection Panel (WB Panel),World Bank,70,Closed Without Results,"Ecoforum- Civil Society, Ecological Movement of Uzbekistan",Project/investment lending,Energy,"Biodiversity, Consultation and disclosure, Due diligence, Livelihoods, Other community health and safety issues, Other environmental, Water",,10/8/10,10/22/10,,,
Energy Resources Phase II & Oyu Tolgoi,Energy Resources Phase II & Oyu Tolgoi,Mongolia,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,2013/01a,Closed With Results,"OT Watch, Shuteen Gaviluut",Project/investment lending,"Extractives (oil, gas, mining)","Consultation and disclosure, Cultural heritage, Due diligence, Indigenous peoples, Livelihoods, Other community health and safety issues, Pollution, Water","<p>Accountability Counsel works with Oyu Tolgoi Watch (“OT Watch”) and several international partners to support some of the world’s last remaining nomadic herder communities, living in the South Gobi region of Mongolia.  We have assisted communities to raise complaints about large-scale mining ventures affecting their water resources and endangering their livelihoods, specifically the Oyu Tolgoi copper and gold mine (“OT Project”) and the Ukhaa Khudag coal mine.</p>
<br>
<p>The OT Project has faced fierce community resistance in Mongolia for years.  One of the biggest concerns is the amount of water, a scarce and valuable resource in the South Gobi desert, that the Project will require.  Traditional nomadic herders, who have lived in the region for centuries, have already experienced problems with wells going dry.  Additionally, the infrastructure and construction related to the Project is degrading and fragmenting herders’ traditional pastures, forcing some of them to abandon their herding lifestyles.  Several herders have already experienced devastating herd loss and other impacts after being forced to resettle because of the OT Project. Furthermore, herders complaint that the company forced them to sign unfair contracts in violation of their rights.  They have found the company largely unresponsive to their concerns.</p>
<br>
<p>The $13.2 billion OT Project, operated by Rio Tinto, is the largest foreign investment in Mongolia.  Despite the OT Project’s numerous problems, the project is supported by the World Bank Group’s International Finance Corporation (“IFC”) and Multilateral Insurance Guarantee Agency (“MIGA”), as well as the European Bank for Reconstruction and Development (“EBRD”). The Netherlands Development Finance Company (“FMO”), U.S. Export-Import Bank, Export Development Canada and the Australian Export Finance and Insurance Corporation have also committed financing for the project.</p>
<br>
<p>Accountability Counsel has supported two complaints to the Compliance Advisor Ombudsman, the accountability office for the IFC and MIGA, raising concerns about the OT Project’s impacts on local water resources and about the adequacy of resettlement and compensation packages. The CAO has convened a dialogue process to assist the herders to reach an agreement with the project company on these issues. The dialogue process is ongoing and has resulted in the establishment of a Tripartite Council, with herder representatives meeting with local government and company representatives on a monthly bases to work towards resolution of the CAO complaints and future community grievances related to the project.</p>
<br>
<p>The Ukhaa Khudag coal mine is located on a section of the world’s largest untapped coking coal and thermal coal deposits, the Tavan Tolgoi. The mine is operated by a Mongolian company, Energy Resources LLC, and is commonly referred to as the “Energy Resources Mine.” Most of its coal product is shipped over land to the Chinese boarder, which has led to the gradual development of a sprawling web of mining roads, ranging from paved roads to informal dirt roads intersecting each other and multiplying by the day. These roads and other project infrastructure have led to severe fragmentation of herders’ pastures, excessive dust and unsafe road conditions which in turn have resulted in fatal traffic accidents and other concerns over herder and animal health. The Energy Resources Mine has received financing from the EBRD.</p>
<br>
<p>In 2013, local herders filed a series of complaints to the EBRD’s Project Complaint Mechanism (“PCM”) raising concerns about pasture fragmentation, dust, and other impacts from the growing network of roads and infrastructure associated with both the OT Project and Energy Resources Mine. Accountability Counsel has supported herders throughout the complaint process and a compliance audit is currently underway to investigate allegations of EBRD policy violations.</p>",7/2/13,8/2/13,8/3/13,,12/22/14
Enhanced Vocational Education and Training Project,Enhanced Vocational Education and Training Project,Nepal,World Bank Inspection Panel (WB Panel),World Bank,90,Closed With Results Outside Process,Blue Diamond Society,Project/investment lending,Education,Other,,9/25/13,,,,
Enso Albania-01,Enso Albania-01,Albania,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,240,Active,Organic Agriculture Association,Equity Investment,"Energy, Infrastructure","Biodiversity, Due diligence, Livelihoods",,6/22/15,,7/15/17,,
Eskom Investment Support Project,Eskom Investment Support Project,South Africa,World Bank Inspection Panel (WB Panel),World Bank,65,Closed With Results,"Earthlife Africa, groundWork",Project/investment lending,"Energy, Infrastructure","Cultural heritage, Displacement (physical and/or economic), Due diligence, Human rights, Livelihoods, Other community health and safety issues, Pollution, Water",,4/6/10,4/7/10,7/29/10,,7/29/10
"Esquema Cajamarquilla, Nievera y Cerro Camote","Esquema Cajamarquilla, Nievera y Cerro Camote",Peru,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-PE-2012-041,Closed Without Results,,,,Other,,5/1/12,,,,
"Esquema Cajamarquilla, Nievera y Cerro Camote 2","Esquema Cajamarquilla, Nievera y Cerro Camote",Peru,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-PE-2012-042,Closed Without Results,,,,Other,,6/1/12,,,,
Estrada Nova Watershed Sanitation,Estrada Nova Watershed Sanitation,Brazil,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-BR-2010-005,Closed With Results,Unknown,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic)",,10/22/10,10/28/10,12/17/10,10/2/11,
Estrada Nova Watershed Sanitation Program (PROMABEN),Estrada Nova Watershed Sanitation Program (PROMABEN),Brazil,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-BR-2014-083,Closed Without Results,,,,Other,,9/1/14,,,,
Estrada Nova Watershed Sanitation Program - PROMABEN,Estrada Nova Watershed Sanitation Program - PROMABEN,Brazil,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICIBR-2012-038,Closed Without Results,,,,Other,,2/1/12,,,,
Estrada Real - Network of Tourism SMEs Mina Gerais State,Estrada Real - Network of Tourism SMEs Mina Gerais State,Brazil,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-BR-2012-043,Closed Without Results,,,,Other,,7/1/12,,,,
Etileno XXI,Etileno XXI,Mexico,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-ME-2013-073,Closed Without Results,,,,Other,,11/1/13,,,,
Etileno XXI 2,Etileno XXI,Mexico,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-ME-2014-080,Closed Without Results,Unknown,Project/investment lending,Chemicals,"Labor, Other community health and safety issues, Other gender-related issues",,4/29/14,5/12/14,,,
Eurasia Tunnel,Eurasia Tunnel,Turkey,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2011/10,Closed Without Results,Unknown,Project/investment lending,Infrastructure,Due diligence,,5/27/11,,,,
Excellon Resources: La Platosa mine project (2011-01-MEX),Excellon Resources: La Platosa mine project (2011-01-MEX),Mexico,Canadian Office of the Extractive Sector Corporate Social Responsibility Counsellor (COES CSR),Canadian Office of the Extractive Sector,2011-01-MEX,Closed Without Results,"National Mining Union, Proyecto de Derechos Economicos, Sociales y Culturales A.C.",,"Extractives (oil, gas, mining)","Human rights, Labor, Other community health and safety issues, Violence against the community (by gov't and/or company)",,4/7/11,4/11/11,4/14/11,,
Export Development Project (not registered),Export Development Project (not registered),Kenya,World Bank Inspection Panel (WB Panel),World Bank,59,Closed Without Results,Friends of Nairobi National Park (FoNNP),Project/investment lending,Manufacturing,"Biodiversity, Consultation and disclosure, Displacement (physical and/or economic), Water",,4/21/09,,,,
Expressway (E35) Project - PAK,Expressway (E35) Project - PAK,Pakistan,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,,,,,9/19/12,9/20/12,,,
Faisalabad-Multan Motorway (M-4),Faisalabad-Multan Motorway (M-4),Pakistan,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,,,,,1/23/13,1/24/13,,,
