Complaint Name,Project,Country,IAM,Bank,External ID,Status,Filer,IFI Support,Sector,Issues,Description,Compliance Report Issued,Non-Compliance Found,Filing Date,Registration Start,Registration End,Registration Status,"If no Registration, why?",Eligibility Start,Eligibility End,Eligibility Status,"If No Eligibility, Why?",Dispute Resolution Start,Dispute Resolution End,Dispute Resolution Status,"If No DR, Why?",Compliance Review Start,Compliance Review End,Compliance Review Status,"If No CR, Why?",Monitoring Start,Monitoring End,Monitoring Status,"If No Monitoring, Why?",Date Closed
Bujagali Energy-06/Bujagali,Bujagali Energy Ltd,Uganda,IFC Compliance Advisor/Ombudsman,IFC/MIGA,199,Active,,"Project/investment lending, Risk Guarantee","Energy, Infrastructure",Labor,,TRUE,TRUE,4/3/13,,,not_undertaken,,4/3/13,4/1/13,closed_with_outcome,,11/1/13,11/1/14,closed_without_outcome,,4/1/15,12/12/17,closed_with_outcome,,12/12/17,,in_progress,,
Bujagali Energy-07/Bujagali,Bujagali Energy Ltd,Uganda,IFC Compliance Advisor/Ombudsman,IFC/MIGA,230,Active,,"Project/investment lending, Risk Guarantee",Energy,Other,,TRUE,TRUE,2/3/15,,,not_undertaken,,,,,,,,,,11/1/16,1/16/18,closed_with_outcome,,1/16/18,,in_progress,,
Bujagali Hydroelectric,Bujagali Hydroelectric,Uganda,EIB Complaints Mechanism,European Investment Bank,SG/E/2009/09,Closed With Results,,Project/investment lending,"Energy, Infrastructure","Cultural heritage, Displacement (physical and/or economic), Due diligence, Other community health and safety issues, Other environmental",,TRUE,TRUE,12/2/09,12/2/09,,closed_with_outcome,,,,closed_with_outcome,,,,not_undertaken,Unknown,5/15/12,9/15/12,closed_with_outcome,,9/5/12,12/5/14,closed_with_outcome,,12/5/14
Bujagali Hydropower Project and Bujagali Interconnection Project,Bujagali Hydropower Project and Bujagali Interconnection Project,Uganda,AfDB Independent Review Mechanism,African Development Bank,RQ 2007/1,Monitoring,,Project/investment lending,"Energy, Infrastructure","Biodiversity, Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Other community health and safety issues, Water",,TRUE,TRUE,5/16/07,5/16/07,6/4/07,closed_with_outcome,,6/4/07,8/24/07,closed_with_outcome,,,,not_undertaken,Not desired by complainant,9/7/07,5/7/09,closed_with_outcome,,5/22/09,,in_progress,,
Bujagali-01/ Bujagali Falls,Bujagali Energy Ltd,Uganda,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_1,Closed Without Results,,Project/investment lending,"Energy, Infrastructure",Other,,FALSE,FALSE,11/1/00,,,not_undertaken,,11/1/00,12/31/00,closed_without_outcome,Inadequate information,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,12/31/00
Bujagali-02/Bujagali Falls,Bujagali Energy Ltd,Uganda,IFC Compliance Advisor/Ombudsman,IFC/MIGA,114,Closed Without Results,,"Project/investment lending, Risk Guarantee","Energy, Infrastructure","Consultation and disclosure, Corruption/fraud, Cultural heritage, Displacement (physical and/or economic), Due diligence, Other",,FALSE,FALSE,6/19/01,,,not_undertaken,,6/19/01,6/1/01,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Case closed in earlier stage,1/31/05
Bujagali-03/Canada,Bujagali Energy Ltd,Uganda,IFC Compliance Advisor/Ombudsman,IFC/MIGA,115,Closed Without Results,,"Project/investment lending, Risk Guarantee","Energy, Infrastructure","Cultural heritage, Indigenous peoples",,FALSE,FALSE,7/1/01,,,not_undertaken,,7/1/01,7/1/01,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Case closed in earlier stage,1/31/05
Bujagali-hydroelectric,Bujagali-hydroelectric,Uganda,EIB Complaints Mechanism,European Investment Bank,SG/A/2009/02,Closed With Results,,Project/investment lending,"Energy, Infrastructure",Consultation and disclosure,,TRUE,TRUE,2/24/09,2/24/09,,closed_with_outcome,,,,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,,,closed_with_outcome,,,,not_undertaken,Unknown,5/31/10
Bulyanhulu Project-01,Bulyanhulu Project-01,Tanzania,IFC Compliance Advisor/Ombudsman,IFC/MIGA,113,Closed Without Results,,Risk Guarantee,"Extractives (oil, gas, mining)","Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Human rights, Other community health and safety issues",,FALSE,FALSE,1/1/02,,,not_undertaken,,1/1/02,,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Case closed in earlier stage,1/31/05
Burapha,Burapha,Laos,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_61,Closed Without Results,,,Other,Other,,FALSE,FALSE,2/1/12,,,not_undertaken,,2/1/12,2/29/12,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,2/29/12
CAMIF-01/ Intibuca,CAMIF-01/ Intibuca,Honduras,IFC Compliance Advisor/Ombudsman,IFC/MIGA,208,Closed Without Results,,Project/investment lending,Infrastructure,"Consultation and disclosure, Cultural heritage, Human rights, Indigenous peoples, Livelihoods, Violence against the community (by gov't and/or company), Water",,FALSE,FALSE,10/9/13,,,not_undertaken,,10/9/13,,closed_with_outcome,Unknown,,,not_undertaken,Funding and/or consideration ended,,,not_undertaken,Funding and/or consideration ended,,,not_undertaken,Case closed in earlier stage,1/31/14
CAREC Corridor 1 (Bishkek-Torugart Road) Project 3,CAREC Corridor 1 (Bishkek-Torugart Road) Project 3,Kyrgyzstan,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,5,Closed Without Results,,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Other community health and safety issues",,FALSE,FALSE,6/25/13,6/25/13,6/25/13,closed_with_outcome,,6/25/13,7/31/13,closed_without_outcome,Addressed outside process,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,7/31/13
CAREC Transport Corridor 1 (Bishkek-Torugart Road) Project 1,CAREC Transport Corridor 1 (Bishkek-Torugart Road) Project 1,Kyrgyzstan,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,2011/2,Closed With Results,,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Livelihoods",,TRUE,TRUE,9/7/10,9/7/10,9/22/10,closed_with_outcome,,9/22/10,11/12/10,closed_with_outcome,,12/14/10,11/14/11,closed_with_outcome,,7/20/11,8/20/12,closed_with_outcome,,,,not_undertaken,Board did not approve,8/31/12
CAREC Transport Corridor I Investment Program,CAREC Transport Corridor I Investment Program,Kazakhstan,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,Dec-09,Closed With Results,,Project/investment lending,Infrastructure,"Consultation and disclosure, Livelihoods",,FALSE,FALSE,11/5/09,11/5/09,11/10/09,closed_with_outcome,,11/10/09,12/3/09,closed_with_outcome,,8/2/10,9/2/10,closed_with_outcome,,,,not_undertaken,Complainant did not refile,3/2/10,9/2/12,closed_with_outcome,,9/30/12
CAREC Transport Corridor I Investment Program 2,CAREC Transport Corridor I Investment Program,Kazakhstan,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,Jan-10,Closed Without Results,,Project/investment lending,Infrastructure,Other,,FALSE,FALSE,6/4/10,6/4/10,6/14/10,closed_with_outcome,,6/14/10,7/31/10,closed_without_outcome,Good faith requirement not met,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,7/31/10
CAREC Transport Corridor I Investment Program 3,CAREC Transport Corridor I Investment Program,Kazakhstan,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,Jul-11,Closed Without Results,,Project/investment lending,Infrastructure,"Livelihoods, Water",,FALSE,FALSE,12/20/11,12/20/11,12/21/11,closed_with_outcome,,12/21/11,1/31/12,closed_without_outcome,Good faith requirement not met,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,1/31/12
CIFI-01/Santa Cruz,CIFI-01/Santa Cruz,Guatemala,IFC Compliance Advisor/Ombudsman,IFC/MIGA,241,Active,,"Financial intermediary, Project/investment lending","Energy, Infrastructure","Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Indigenous peoples, Livelihoods, Other community health and safety issues, Violence against the community (by gov't and/or company), Water",,FALSE,FALSE,7/15/15,,,not_undertaken,,,,,,,,,,8/1/16,,in_progress,,,,,,
Cadastral and Property Registry Regularization Program,Cadastral and Property Registry Regularization Program,Costa Rica,IDB Independent Consultation and Investigation Mechanism,Inter-American Development Bank,MICI-CR-2011-029,Closed Without Results,,,Other,Other,,FALSE,FALSE,10/1/11,10/1/11,,closed_without_outcome,,,,not_undertaken,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,
Cairo Metro Line 3 (Phase 3),Cairo Metro Line 3 (Phase 3),Egypt,EIB Complaints Mechanism,European Investment Bank,SG/E/2012/12,Closed Without Results,,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Other community health and safety issues",,FALSE,FALSE,1/5/12,1/5/12,,closed_with_outcome,,,,closed_with_outcome,,,,not_undertaken,Not desired by complainant,,,not_undertaken,Unknown,3/9/14,3/31/14,closed_with_outcome,,3/31/14
Cairo Metro Line 3 (Phase 3) 2,Cairo Metro Line 3 (Phase 3),Egypt,EIB Complaints Mechanism,European Investment Bank,SG/E/2015/01,Closed Without Results,,Project/investment lending,Infrastructure,Due diligence,,FALSE,FALSE,12/30/14,12/30/14,,closed_with_outcome,,,,closed_with_outcome,,,,not_undertaken,Unknown,,,in_progress,,,,not_undertaken,Case closed in earlier stage,4/30/15
Cambodia Airport II-01/Preah Sihanouk,Cambodia Airport II-01/Preah Sihanouk,Cambodia,IFC Compliance Advisor/Ombudsman,IFC/MIGA,155,Closed With Results,,Project/investment lending,Infrastructure,"Biodiversity, Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Livelihoods, Other environmental, Pollution",,FALSE,FALSE,12/11/09,,,not_undertaken,,12/11/09,1/1/10,closed_with_outcome,,8/1/10,,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,,5/31/15,closed_with_outcome,,5/31/15
Cambodia Airports-01/Phnom Penh,Cambodia Airports-01/Phnom Penh,Cambodia,IFC Compliance Advisor/Ombudsman,IFC/MIGA,205,Active,,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence",,FALSE,FALSE,6/7/13,,,not_undertaken,,6/7/13,6/1/13,closed_with_outcome,,1/1/14,1/1/18,in_progress,,,,,,1/1/18,,in_progress,,
Capacity Development of National Capital Region Planning Board (NCRPB),Capacity Development of National Capital Region Planning Board (NCRPB),Unknown,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,no_id_25_15,Closed Without Results,,Advisory services,"Infrastructure, Regulatory Development",Other,,FALSE,FALSE,2/22/13,2/22/13,2/25/13,closed_with_outcome,,2/25/13,2/28/13,closed_without_outcome,Forwarded to other body within bank,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,2/28/13
CariSal,CariSal,Trinidad and Tobago,IDB Independent Consultation and Investigation Mechanism,Inter-American Development Bank,MICI-TT-2012-039,Closed Without Results,,,Other,Other,,FALSE,FALSE,4/1/12,4/1/12,,closed_without_outcome,,,,not_undertaken,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,
"Cartagena Water Supply, Sewerage and Environmental Management Project","Cartagena Water Supply, Sewerage and Environmental Management Project",Colombia,WB Inspection Panel,World Bank,31,Closed With Results,,Project/investment lending,"Conservation and environmental protection, Infrastructure","Biodiversity, Consultation and disclosure, Due diligence, Indigenous peoples, Livelihoods, Other community health and safety issues, Pollution, Water",,TRUE,TRUE,4/20/04,4/20/04,4/22/04,closed_with_outcome,,4/22/04,6/22/04,closed_with_outcome,,,,not_undertaken,Not offered by mechanism,6/22/04,7/22/05,closed_with_outcome,,7/29/05,8/29/06,closed_with_outcome,,9/30/06
Castor Underground Gas Storage,Castor Underground Gas Storage,Spain,EIB Complaints Mechanism,European Investment Bank,SG/E/2013/12,Active,,Project/investment lending,"Energy, Infrastructure","Due diligence, Other, Other community health and safety issues",,FALSE,FALSE,12/4/13,12/4/13,,closed_with_outcome,,,12/13/13,closed_with_outcome,,,,not_undertaken,Unknown,2/4/15,,in_progress,,,,,,
Celulosas de M'Bopicua (CMB) & Orion-01/Argentina & Uruguay,Celulosas de M'Bopicua (CMB) & Orion-01/Argentina & Uruguay,"Argentina, Uruguay",IFC Compliance Advisor/Ombudsman,IFC/MIGA,117,Closed With Results,,Project/investment lending,Manufacturing,"Consultation and disclosure, Due diligence, Livelihoods, Other community health and safety issues, Pollution",,TRUE,TRUE,9/1/05,,,not_undertaken,,9/1/05,9/23/05,closed_with_outcome,,,,not_undertaken,Actor(s) involved refused to participate,11/1/05,3/1/06,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,3/31/06
Cencosud,Cencosud,Argentina,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_22,Closed Without Results,,,Other,Other,,FALSE,FALSE,6/1/06,,,not_undertaken,,6/1/06,7/31/06,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,7/31/06
Central Asia South Asia Electricity Transmission and Trade Project (CASA-1000),Central Asia South Asia Electricity Transmission and Trade Project (CASA-1000),"Afghanistan, Kyrgyzstan, Pakistan, Tajikistan",WB Inspection Panel,World Bank,93,Closed Without Results,,Project/investment lending,"Energy, Infrastructure","Biodiversity, Livelihoods, Other community health and safety issues, Water",,FALSE,FALSE,4/21/14,4/21/14,7/31/14,closed_without_outcome,,,,not_undertaken,Filer Issue,,,not_undertaken,Not offered by mechanism,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,7/31/14
Central Mekong Delta Region Connectivity Project,Central Mekong Delta Region Connectivity Project,Vietnam,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,no_id_25_27,Closed Without Results,,Project/investment lending,Infrastructure,Procurement,,FALSE,FALSE,11/15/13,11/15/13,11/15/13,closed_with_outcome,,11/15/13,11/30/13,closed_without_outcome,"Outside of mandate, Forwarded to other body within bank, Outside of mandate",,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,11/30/13
Chad-Cameroon Pipeline-01,Chad-Cameroon Pipeline-01,"Cameroon, Chad",IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_42,Closed Without Results,,,Other,Other,,FALSE,FALSE,10/1/09,,,not_undertaken,,10/1/09,10/31/09,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,10/31/09
Chad-Cameroon Pipeline-02/Cameroon,Chad-Cameroon Pipeline-02/Cameroon,Cameroon,IFC Compliance Advisor/Ombudsman,IFC/MIGA,168,Active,,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Displacement (physical and/or economic), Indigenous peoples, Labor, Livelihoods, Other community health and safety issues, Pollution",,FALSE,FALSE,5/16/11,,,not_undertaken,,5/16/11,6/12/11,closed_with_outcome,,1/1/12,10/24/17,closed_with_outcome,,,,not_undertaken,,10/24/17,,not_undertaken,,
Chad-Cameroon Pipeline-03/Chad,Chad-Cameroon Pipeline-03/Chad,Chad,IFC Compliance Advisor/Ombudsman,IFC/MIGA,179,Active,,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Displacement (physical and/or economic), Due diligence, Livelihoods, Pollution, Water",,FALSE,FALSE,10/20/11,,,not_undertaken,,10/20/11,1/1/12,closed_with_outcome,,4/1/13,1/16/17,in_progress,,,,,,1/16/17,,in_progress,,
Chasma Right Bank Irrigation Project-Stage III,Chasma Right Bank Irrigation Project-Stage III,Pakistan,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,Jan-06,Closed Without Results,,Project/investment lending,"Agribusiness, Infrastructure","Livelihoods, Other, Water",,FALSE,FALSE,12/14/05,12/14/05,12/15/06,closed_with_outcome,,12/15/06,12/31/06,closed_without_outcome,"Good faith requirement not met, Other",,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,12/31/06
Chemplast-01/ Cuddalore District,Chemplast-01/ Cuddalore District,India,IFC Compliance Advisor/Ombudsman,IFC/MIGA,96,Closed Without Results,,"Equity Investment, Project/investment lending",Chemicals,"Consultation and disclosure, Due diligence, Other environmental, Water",,FALSE,FALSE,6/1/02,,,not_undertaken,,6/1/02,,closed_with_outcome,,,,not_undertaken,Funding and/or consideration ended,,,not_undertaken,Funding and/or consideration ended,,,not_undertaken,Case closed in earlier stage,1/31/05
Coal Sector Mitigation Project and Coal Sector Rehabitation Project,Coal Sector Mitigation Project and Coal Sector Rehabitation Project,India,WB Inspection Panel,World Bank,23,Closed With Results,,Project/investment lending,"Extractives (oil, gas, mining)","Consultation and disclosure, Displacement (physical and/or economic), Livelihoods, Pollution, Water",,TRUE,TRUE,6/21/01,6/21/01,6/22/01,closed_with_outcome,,6/22/01,8/20/01,closed_with_outcome,,,,not_undertaken,Not offered by mechanism,8/20/01,7/20/03,closed_with_outcome,,7/25/03,2/25/05,closed_with_outcome,,4/30/05
Coca-Cola Sabco,Coca-Cola Sabco,Ethiopia,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_49,Closed Without Results,,,Other,Other,,FALSE,FALSE,4/1/10,,,not_undertaken,,4/1/10,6/30/10,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,6/30/10
Community Empowerment for Rural Development Project,Community Empowerment for Rural Development Project,Indonesia,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,Jan-05,Closed With Results,,Project/investment lending,"Community capacity and development, Infrastructure","Consultation and disclosure, Livelihoods, Other",,FALSE,FALSE,2/21/05,2/21/05,3/9/05,closed_with_outcome,,3/9/05,3/23/05,closed_with_outcome,,5/5/05,12/5/05,closed_with_outcome,,,,not_undertaken,Complainant did not refile,12/13/04,6/13/05,closed_with_outcome,,5/31/06
Compania Minera Antamina S.A.-01/ Huarmey,Compania Minera Antamina,Peru,IFC Compliance Advisor/Ombudsman,IFC/MIGA,107,Closed Without Results,,Risk Guarantee,"Extractives (oil, gas, mining)","Consultation and disclosure, Displacement (physical and/or economic), Due diligence",,FALSE,TRUE,9/1/00,,,not_undertaken,,9/1/00,9/1/00,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,9/1/00,1/1/05,closed_with_outcome,,,,not_undertaken,Unknown,1/31/05
Compania Minera Antamina S.A.-02/Huarmey,Compania Minera Antamina,Peru,IFC Compliance Advisor/Ombudsman,IFC/MIGA,108,Closed Without Results,,Risk Guarantee,"Extractives (oil, gas, mining)","Biodiversity, Consultation and disclosure, Livelihoods, Pollution, Water",,FALSE,FALSE,5/1/05,,,not_undertaken,,5/1/05,6/13/05,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Case closed in earlier stage,5/31/06
Compania Minera Antamina S.A.-03/Huarmey,Compania Minera Antamina,Peru,IFC Compliance Advisor/Ombudsman,IFC/MIGA,109,Closed Without Results,,Risk Guarantee,"Extractives (oil, gas, mining)","Pollution, Water",,FALSE,FALSE,6/1/08,,,not_undertaken,,6/1/08,,closed_with_outcome,,,,not_undertaken,Not offered by mechanism,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,9/30/08
Compensation for Expropriation and Extension of IDA Credits to Ethiopia (not registered),Compensation for Expropriation and Extension of IDA Credits to Ethiopia (not registered),Ethiopia,WB Inspection Panel,World Bank,2,Closed Without Results,,Other,Other,Other,,FALSE,FALSE,4/4/95,4/4/95,4/30/95,closed_without_outcome,,,,not_undertaken,Outside of mandate,,,not_undertaken,Not offered by mechanism,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,4/30/95
Comsur V-01/Bosque Chiquitano,Comsur V-01/Bosque Chiquitano,Bolivia,IFC Compliance Advisor/Ombudsman,IFC/MIGA,125,Closed With Results,,Equity Investment,"Extractives (oil, gas, mining)","Biodiversity, Consultation and disclosure, Due diligence, Indigenous peoples",,TRUE,TRUE,6/1/03,,,not_undertaken,,6/1/03,7/1/03,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,11/1/03,6/1/04,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,5/31/05
Concurso BID-IDEAS,Concurso BID-IDEAS,Unknown,IDB Independent Consultation and Investigation Mechanism,Inter-American Development Bank,MICI-XX-2013-064,Closed Without Results,,,Other,Other,,FALSE,FALSE,7/1/13,7/1/13,,closed_without_outcome,,,,not_undertaken,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,
Construction of the Marrakech - Agadir Motorway,Construction of the Marrakech - Agadir Motorway,Morocco,AfDB Independent Review Mechanism,African Development Bank,RQ 2010/1,Monitoring,,Project/investment lending,Infrastructure,"Livelihoods, Other community health and safety issues, Property damage, Water",,FALSE,FALSE,7/19/10,7/19/10,7/29/10,closed_with_outcome,,7/29/10,7/29/10,closed_with_outcome,,10/14/10,1/14/12,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,1/1/12,,in_progress,,
Construction/Improvement 0f 5.34 Km. Visares-Barugo Farmto-Market Road,Construction/Improvement 0f 5.34 Km. Visares-Barugo Farmto-Market Road,Unknown,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,no_id_25_2,Closed Without Results,,Project/investment lending,Infrastructure,Other,,FALSE,FALSE,6/27/12,6/27/12,7/17/12,closed_with_outcome,,7/17/12,7/31/12,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,7/31/12
CoreCo-01/,CoreCo-01/,Costa Rica,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_95,Closed Without Results,,,Other,Other,,FALSE,FALSE,6/1/14,,,not_undertaken,,6/1/14,6/30/14,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,6/30/14
Corridor 10 Highway E-75,Corridor 10 Highway E-75,Serbia,EIB Complaints Mechanism,European Investment Bank,SG/E/2011/08,Closed Without Results,,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Other",,FALSE,FALSE,5/4/11,5/4/11,,closed_with_outcome,,,,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,6/26/12,7/26/12,in_progress,,,,not_undertaken,Case closed in earlier stage,7/31/12
Crompton,Crompton,India,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_41,Closed Without Results,,No IFI involvement,Other,Other,,FALSE,FALSE,5/1/09,,,not_undertaken,,5/1/09,5/31/09,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,5/31/09
D1 motorway Phase I,D1 motorway Phase I,Slovakia,EBRD Project Complaint Mechanism,European Bank for Reconstruction and Development,2010/01,Closed With Results,,Project/investment lending,Infrastructure,"Biodiversity, Due diligence",,TRUE,FALSE,6/7/10,6/7/10,6/11/10,closed_with_outcome,,6/11/10,8/18/10,closed_with_outcome,,,,not_undertaken,Not offered by mechanism,8/18/10,5/18/11,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,5/31/11
DG Khan-01/ Kahoon,DG Khan-01/ Kahoon,Pakistan,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_17,Closed Without Results,,,Manufacturing,Due diligence,,FALSE,FALSE,12/1/05,,,not_undertaken,,12/1/05,1/31/06,closed_without_outcome,Issues previously raised,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,1/31/06
DIF Lydian (Amulsar Gold Mine),DIF Lydian (Amulsar Gold Mine),Armenia,EBRD Project Complaint Mechanism,European Bank for Reconstruction and Development,2014/02,Closed Without Results,,Equity Investment,"Extractives (oil, gas, mining)","Biodiversity, Consultation and disclosure, Cultural heritage, Due diligence, Livelihoods, Water",,FALSE,FALSE,7/29/14,7/29/14,7/31/14,closed_with_outcome,,7/31/14,2/28/15,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,2/28/15
DIF Lydian (Amulsar Gold Mine) 2,DIF Lydian (Amulsar Gold Mine),Armenia,EBRD Project Complaint Mechanism,European Bank for Reconstruction and Development,2014/03,Closed Without Results,,,"Extractives (oil, gas, mining)","Consultation and disclosure, Due diligence, Other community health and safety issues, Pollution, Water",,FALSE,FALSE,10/29/14,10/29/14,11/7/14,closed_with_outcome,,11/7/14,2/28/15,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,2/28/15
DISI - Amman Water Conveyor,DISI - AMMAN WATER CONVEYOR,Jordan,EIB Complaints Mechanism,European Investment Bank,SG/E/2010/14,Closed Without Results,,,Other,Other,,FALSE,FALSE,12/14/10,12/14/10,,closed_with_outcome,,,,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,12/31/10
DTS Expressway,DTS Expressway,Poland,EIB Complaints Mechanism,European Investment Bank,SG/E/2012/10,Closed Without Results,,Project/investment lending,Infrastructure,"Due diligence, Other community health and safety issues",,FALSE,FALSE,7/12/12,7/12/12,,closed_with_outcome,,,,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,2/4/14,3/4/14,in_progress,,,,not_undertaken,Case closed in earlier stage,3/31/14
DTS Expressway II,DTS Expressway II,Poland,EIB Complaints Mechanism,European Investment Bank,SG/E/2010/01,Closed Without Results,,Project/investment lending,Infrastructure,"Consultation and disclosure, Cultural heritage, Due diligence, Other community health and safety issues",,FALSE,FALSE,1/15/10,1/15/10,1/29/10,closed_with_outcome,,1/29/10,1/29/10,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,12/14/10,1/14/11,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,1/14/11
DTT,DTT,United States,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_44,Closed Without Results,,,Other,Other,,FALSE,FALSE,10/1/09,,,not_undertaken,,10/1/09,10/31/09,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,10/31/09
